OID_,NAME10,Cnt_NAME10,First_id,Last_id
,Block 1029,2472,AKL4099,AZJ6067
,Block 1030,1513,AKN2629,AZJ6068
,Block 1031,1250,AKL4099,AZJ6068
,Block 1032,832,AKN2620,AZJ6067
,Block 1033,536,AKN2646,AYV0693
,Block 1034,514,AKN2663,AYV0693
,Block 1035,339,AKL4099,AYV0624
,Block 1036,260,AKN2702,AZJ6067
,Block 1037,339,AKN2641,AYU6646
,Block 1038,226,AKN2732,AYV0693
,Block 1039,298,AKL4099,AZJ6067
,Block 1040,397,AKN2620,AZJ6068
,Block 1041,422,AKN2629,AZJ6068
,Block 1042,398,AKN2620,AYV0693
,Block 1043,463,AKN2689,AYV0354
,Block 1044,342,AKN2620,AYV0691
,Block 1045,308,AKN2689,AXS3727
,Block 1046,152,AKN2673,AYU6646
,Block 1047,354,AKL4099,AZJ6068
,Block 1048,240,AKN2709,AYV0692
,Block 1049,442,AKN2627,AYV0692
,Block 1050,574,AKN2697,AYV0693
,Block 1051,388,AKN2620,AZJ6067
,Block 1052,175,AKN2764,AYV0691
,Block 1053,233,AKN2697,AYV0692
,Block 1054,139,AKN2620,AZJ6067
,Block 1055,226,AKN2627,AYU6647
,Block 1056,271,AKN2793,AYV0354
,Block 1057,254,AKN2627,AZJ6067
,Block 1058,292,AKN2643,AYV0692
,Block 1059,225,AKN2798,AYV0692
,Block 1060,55,ALU5961,AYU6646
,Block 1061,86,AKN2699,AXS3726
,Block 1062,203,AKN2630,AYU6648
,Block 1063,12,ATS2910,AXG5499
,Block 1064,34,AKL4099,AYU6647
,Block 1065,176,AKN2685,AZJ6067
,Block 1066,207,AKN2778,AYU6646
,Block 1067,142,AKN2685,AYV0692
,Block 1068,202,AKL4099,AYU6641
,Block 1069,150,AKN2793,AXG5774
,Block 1070,139,ALU5971,AYU6646
,Block 1071,37,ATS2914,AYU6641
,Block 1072,84,AKN2689,AYU6640
,Block 1073,105,ALU5902,AYU6645
,Block 1074,87,AKL4099,AYV0690
,Block 1075,51,AKN2643,AXG5768
,Block 1076,89,AKN2689,AYV0693
,Block 1077,14,AKN2813,AXG5755
,Block 1078,112,AKN2629,AYV0693
,Block 1079,22,AKL4099,AYV0624
,Block 1080,92,AKN2630,AYU6648
,Block 1081,29,ATS2908,AXS3727
,Block 1082,17,ATZ5009,AXG5766
,Block 1083,15,ATS2901,AXG5761
,Block 1084,17,ATZ5018,AXG5751
,Block 2000,3963,AKL4099,AZJ6067
,Block 2001,5271,AKL4099,AZJ6068
,Block 2002,4035,AKL4099,AZJ6068
,Block 2003,4035,AKL4099,AZJ6068
,Block 2004,4097,AKL4099,AZJ6068
,Block 2005,3704,AKL4099,AZJ6068
,Block 2006,3447,AKL4099,AYV0693
,Block 2007,3713,AKL4099,AZJ6067
,Block 2008,3623,AKL4099,AZJ6068
,Block 2009,3804,AKL4099,AZJ6068
,Block 2010,3483,AKN2620,AZJ6068
,Block 2011,3215,AKL4099,AZJ6067
,Block 2012,2735,AKL4099,AZJ6068
,Block 2013,2639,AKL4099,AZJ6067
,Block 2014,2329,AKL4099,AZJ6067
,Block 2015,2341,AKL4099,AYV0693
,Block 2016,3187,AKL4099,AZJ6068
,Block 2017,1776,AKN2627,AZJ6068
,Block 2018,1247,AKL4099,AYV0693
,Block 2019,1960,AKN2627,AYV0693
,Block 2020,1272,AKN2641,AYV0688
,Block 2021,1573,AKN2643,AYV0692
,Block 2022,1118,AKN2620,AZJ6068
,Block 2023,1436,AKL4099,AZJ6068
,Block 2024,1310,AKL4099,AYV0693
,Block 2025,1092,AKN2627,AZJ6068
,Block 2026,963,AKN2641,AYV0692
,Block 2027,779,AKL4099,AZJ6067
,Block 2028,560,AKN2629,AYV0693
,Block 2029,661,AKN2646,AYV0692
,Block 2030,476,AKN2641,AZJ6067
,Block 2031,563,AKN2643,AZJ6068
,Block 2032,448,AKN2630,AZJ6068
,Block 2033,551,AKN2620,AYV0692
,Block 2034,324,AKL4099,AZJ6067
,Block 2035,257,AKN2627,AZJ6068
,Block 2036,481,AKL4099,AYV0691
,Block 2037,1287,AKN2629,AZJ6068
,Block 2038,666,AKL4099,AZJ6067
,Block 2039,213,AKN2753,AYU6646
,Block 2040,231,AKN2620,AYV0692
,Block 2041,159,AKN2732,AYU6645
,Block 2042,250,AKN2673,AYU6646
,Block 2043,177,AKL4099,AYV0624
,Block 2044,54,ATS2909,AYU6646
,Block 2045,205,AKN2630,AZJ6067
,Block 2046,140,AKN2627,AYV0693
,Block 2047,156,AKN2629,AYV0691
,Block 2048,84,AKN2813,AYV0693
,Block 2049,39,AKN2692,AXG5774
,Block 2050,36,AKN2835,AXG5677
,Block 2051,89,AKN2798,AYU6648
,Block 2052,50,ANK7397,AYV0689
,Block 2053,84,APT6437,AYU6645
,Block 2054,82,AKN2620,AXG5767
,Block 2055,112,AKN2798,AXG5780
,Block 2056,88,AKN2760,AYV0689
,Block 2057,97,AKN2630,AYV0624
,Block 2058,68,AKN2732,AYV0624
,Block 2059,132,AKN2627,AYU6648
,Block 2060,148,AKN2620,AYV0624
,Block 2061,264,AKN2620,AYU6648
,Block 2062,78,AKN2873,AYU6648
,Block 2063,218,AKN2709,AYU6647
,Block 2064,215,AKN2620,AYV0692
,Block 2065,195,AKN2643,AYV0689
,Block 2066,121,AKN2857,AYV0690
,Block 2067,251,AKN2646,AYV0692
,Block 2068,24,ATS2920,AXG5747
,Block 2069,47,ALU5915,AXG5785
,Block 2070,42,AKN2685,AXG5767
,Block 2071,45,ALU5902,AYV0688
,Block 2072,138,AKN2689,AYV0688
,Block 2073,277,AKN2663,AZJ6068
,Block 2074,53,ANK7361,AXG5781
,Block 2075,269,AKN2620,AYV0692
,Block 2076,246,AKL4099,AZJ6067
,Block 2077,33,AKN2873,AXG5661
,Block 2078,149,AKN2697,AYV0691
,Block 2079,20,ALU5906,AYU6648
,Block 2080,34,ALU5911,AYU6644
,Block 2081,67,AKN2793,AYU6645
,Block 2082,10,ATZ5045,AXG5751
,Block 2083,14,AKN2732,AYU6640
