,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,-1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1.0,0.0,0.0,0.0,0.0,-3.0,1.0,-3.0,-5.0,-2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0
151,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,-1.0,-2.0,0.0,-2.0,0.0,0.0,-1.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
154,0.0,0.0,0.0,2.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,14.0,7.0,5.0,-2.0,-3.0,-1.0,-1.0,-7.0,-3.0,-5.0,-1.0,-2.0,1.0
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,2.0,-1.0,2.0,-1.0,0.0,3.0,-1.0,-2.0,0.0,-1.0,0.0,0.0
170,1.0,1.0,0.0,1.0,-6.0,-9.0,-5.0,0.0,-2.0,2.0,6.0,-3.0,3.0,-2.0,0.0,1.0,8.0,-1.0,-4.0,3.0,2.0,0.0,0.0,3.0
